CATEGORIE;DATE;QUART;PDQ;X;Y;LONGITUDE;LATITUDE
Introduction;2020-04-21;jour;13;295982.96900456893;5032066.99999363;#CHAMP!;45.42848147909143
Mefait;2020-04-21;jour;9;292481.94;5037333.854;#CHAMP!;45.47582224346097
Introduction;2020-04-21;soir;15;298219.87900217;5037553.03899341;#CHAMP!;45.477872220677284
Introduction;2020-04-21;jour;15;298219.87900217;5037553.03899341;#CHAMP!;45.477872220677284
Vol de vehicule moteur;2020-04-21;soir;38;299230.326002173;5040940.56799712;#CHAMP!;45.50836348546685
Vol de vehicule moteur;2020-04-21;soir;38;299230.326002173;5040940.56799712;#CHAMP!;45.50836348546685
Introduction;2020-04-21;nuit;21;299268.555998894;5041048.3360079;#CHAMP!;45.50933353090908
Vol de vehicule moteur;2020-04-21;jour;3;277315.843996829;5040243.500002369;#CHAMP!;45.501571810197376
Vol dans / sur vehicule  moteur;2020-04-21;soir;38;298900.813994894;5041631.57500668;#CHAMP!;45.51457874001471
Vol de vehicule moteur;2020-04-21;jour;15;298875.09100638;5038692.65000268;#CHAMP!;45.488132825590945
Vol dans / sur vehicule  moteur;2020-04-21;jour;15;298770.280997448;5037578.54299668;#CHAMP!;45.4781066877709
Introduction;2020-04-21;jour;31;295886.7689922489;5045065.059004751;#CHAMP!;45.545442485929996
Vol de vehicule moteur;2020-04-21;jour;33;293937.935999736;5043546.1890024;#CHAMP!;45.53174750235892
Vol de vehicule moteur;2020-04-21;nuit;46;300873.81300498;5052021.50000204;#CHAMP!;45.608084661303586
Vol de vehicule moteur;2020-04-21;jour;27;293455.290002934;5047222.25400223;#CHAMP!;45.56481825740628
Introduction;2020-04-21;jour;12;298413.508010326;5038328.5600029;#CHAMP!;45.48485250989043
Vol dans / sur vehicule  moteur;2020-04-21;jour;9;291732.719000168;5038001.83899144;#CHAMP!;45.481819440526415
Mefait;2020-04-21;jour;49;303494.0520033;5054581.13999355;#CHAMP!;45.63112679240179
Mefait;2020-04-21;jour;27;292991.983996455;5047301.53800656;#CHAMP!;45.56552397372171
Mefait;2020-04-21;jour;26;294043.466998335;5038591.53599622;#CHAMP!;45.48716521887284
Vols qualifies;2020-04-21;nuit;22;300687.88899149;5043678.59999178;#CHAMP!;45.53301150514295
Introduction;2020-04-21;jour;35;297510.9190037691;5045227.845002;#CHAMP!;45.54692618050825
Introduction;2020-04-21;jour;7;290918.781;5041367.5;#CHAMP!;45.51208928304826
Mefait;2020-04-21;jour;11;295524.941;5035913.496;#CHAMP!;45.46308825519946
Mefait;2020-04-21;nuit;38;298379.31000324;5041955.07599083;#CHAMP!;45.51748512450554
Introduction;2020-04-21;nuit;33;295460.915996538;5043059.07200325;#CHAMP!;45.52738631767946
Mefait;2020-04-21;jour;26;294902.41;5040786.662;#CHAMP!;45.50693058836511
Vol de vehicule moteur;2020-04-21;nuit;48;300733.932997835;5049339.28399616;#CHAMP!;45.58394852796069
Mefait;2020-04-21;nuit;38;299057.683990626;5040563.944997089;#CHAMP!;45.50497307458968
Introduction;2020-04-21;soir;27;293852.8060075411;5045639.32300804;#CHAMP!;45.55058090794887
Mefait;2020-04-21;nuit;49;304364.671993407;5058164.06099826;#CHAMP!;45.66336773102093
Vol dans / sur vehicule  moteur;2020-04-21;jour;15;297008.32898938;5035140.595000969;#CHAMP!;45.45615143761103
Mefait;2020-04-21;jour;30;298028.658991073;5047303.88300014;#CHAMP!;45.56561229304852
